aircraft_id,tail_number,model,manufacturer,total_capacity,first_class_seats,comfort_plus_seats,economy_seats,year_manufactured,home_hub,status
1,N901DL,A220-100,Airbus,109,3,20,86,2019,SEA,Active
2,N902DX,A220-100,Airbus,109,3,20,86,2020,DTW,Active
3,N903DS,A220-100,Airbus,109,3,20,86,2019,SEA,Active
4,N904DL,A220-100,Airbus,109,3,20,86,2023,JFK,Active
5,N905DL,A220-100,Airbus,109,3,20,86,2019,ATL,Active
6,N906DS,A220-100,Airbus,109,3,20,86,2020,LAX,Active
7,N907DL,A220-100,Airbus,109,3,20,86,2023,DTW,Active
8,N908DY,A220-100,Airbus,109,3,20,86,2020,JFK,Active
9,N909DX,A220-100,Airbus,109,3,20,86,2019,SLC,Active
10,N910DS,A220-100,Airbus,109,3,20,86,2022,MSP,Active
11,N911DX,A220-300,Airbus,130,3,26,101,2020,DTW,Active
12,N912DX,A220-300,Airbus,130,3,26,101,2019,ATL,Active
13,N913DY,A220-300,Airbus,130,3,26,101,2019,MSP,Active
14,N914DX,A220-300,Airbus,130,3,26,101,2023,MSP,Active
15,N915DL,A220-300,Airbus,130,3,26,101,2022,LAX,Active
16,N916DL,A220-300,Airbus,130,3,26,101,2022,ATL,Active
17,N917DX,A220-300,Airbus,130,3,26,101,2023,SLC,Active
18,N918DX,A220-300,Airbus,130,3,26,101,2023,DTW,Active
19,N919DL,A220-300,Airbus,130,3,26,101,2019,SEA,Active
20,N920DS,A220-300,Airbus,130,3,26,101,2021,ATL,Active
21,N921DS,A220-300,Airbus,130,3,26,101,2019,JFK,Active
22,N922DX,A220-300,Airbus,130,3,26,101,2022,SEA,Active
23,N923DX,A220-300,Airbus,130,3,26,101,2020,MSP,Active
24,N924DX,A220-300,Airbus,130,3,26,101,2020,SEA,Active
25,N925DX,A319,Airbus,126,0,20,106,2015,SEA,Active
26,N926DL,A319,Airbus,126,0,20,106,2014,SEA,Active
27,N927DS,A319,Airbus,126,0,20,106,2013,SEA,Active
28,N928DS,A319,Airbus,126,0,20,106,2007,JFK,Active
29,N929DY,A319,Airbus,126,0,20,106,2009,SEA,Active
30,N930DS,A319,Airbus,126,0,20,106,2015,MSP,Active
31,N931DL,A319,Airbus,126,0,20,106,2008,SLC,Active
32,N932DL,A319,Airbus,126,0,20,106,2010,JFK,Active
33,N933DX,A319,Airbus,126,0,20,106,2006,DTW,Active
34,N934DX,A319,Airbus,126,0,20,106,2008,SEA,Active
35,N935DY,A319,Airbus,126,0,20,106,2011,SEA,Active
36,N936DY,A319,Airbus,126,0,20,106,2007,MSP,Active
37,N937DS,A319,Airbus,126,0,20,106,2008,SEA,Active
38,N938DX,A319,Airbus,126,0,20,106,2014,JFK,Active
39,N939DY,A319,Airbus,126,0,20,106,2010,DTW,Active
40,N940DS,A319,Airbus,126,0,20,106,2013,JFK,Active
41,N941DL,A319,Airbus,126,0,20,106,2005,SLC,Active
42,N942DL,A319,Airbus,126,0,20,106,2007,SEA,Active
43,N943DS,A320,Airbus,150,0,24,126,2017,JFK,Active
44,N944DL,A320,Airbus,150,0,24,126,2013,JFK,Active
45,N945DY,A320,Airbus,150,0,24,126,2015,MSP,Active
46,N946DL,A320,Airbus,150,0,24,126,2017,SEA,Active
47,N947DL,A320,Airbus,150,0,24,126,2017,LAX,Active
48,N948DX,A320,Airbus,150,0,24,126,2017,MSP,Active
49,N949DL,A320,Airbus,150,0,24,126,2011,JFK,Active
50,N950DS,A320,Airbus,150,0,24,126,2014,ATL,Active
51,N951DX,A320,Airbus,150,0,24,126,2015,SLC,Active
52,N952DS,A320,Airbus,150,0,24,126,2015,ATL,Active
53,N953DX,A320,Airbus,150,0,24,126,2017,LAX,Active
54,N954DS,A320,Airbus,150,0,24,126,2009,MSP,Active
55,N955DS,A320,Airbus,150,0,24,126,2015,SLC,Active
56,N956DL,A320,Airbus,150,0,24,126,2016,MSP,Active
57,N957DY,A320,Airbus,150,0,24,126,2007,ATL,Active
58,N958DX,A320,Airbus,150,0,24,126,2011,DTW,Active
59,N959DL,A320,Airbus,150,0,24,126,2010,LAX,Active
60,N960DL,A320,Airbus,150,0,24,126,2008,SEA,Active
61,N961DY,A320,Airbus,150,0,24,126,2008,SLC,Active
62,N962DS,A320,Airbus,150,0,24,126,2009,SEA,Active
63,N963DY,A320,Airbus,150,0,24,126,2015,DTW,Active
64,N964DX,A320,Airbus,150,0,24,126,2015,SLC,Active
65,N965DY,A321,Airbus,192,0,30,162,2016,LAX,Active
66,N966DS,A321,Airbus,192,0,30,162,2017,JFK,Active
67,N967DX,A321,Airbus,192,0,30,162,2020,LAX,Active
68,N968DY,A321,Airbus,192,0,30,162,2014,DTW,Active
69,N969DS,A321,Airbus,192,0,30,162,2014,MSP,Active
