route_id,origin_airport,destination_airport,distance_miles,route_type,haul_type,popularity_weight
1,ATL,AUS,811,Domestic,Medium-haul,4.052
2,ATL,BOS,945,Domestic,Medium-haul,3.885
3,ATL,CLT,226,Domestic,Short-haul,4.351
4,ATL,CVG,374,Domestic,Short-haul,4.515
5,ATL,DCA,547,Domestic,Short-haul,4.429
6,ATL,DEN,1197,Domestic,Medium-haul,3.611
7,ATL,DFW,730,Domestic,Medium-haul,4.209
8,ATL,DTW,595,Domestic,Short-haul,4.167
9,ATL,FLL,582,Domestic,Short-haul,4.386
10,ATL,HNL,4495,International,Long-haul,1.216
11,ATL,IAD,534,Domestic,Short-haul,4.445
12,ATL,IAH,688,Domestic,Short-haul,4.177
13,ATL,JFK,759,Domestic,Medium-haul,4.399
14,ATL,LAS,1743,Domestic,Medium-haul,3.262
15,ATL,LAX,1942,Domestic,Long-haul,3.214
16,ATL,LGA,761,Domestic,Medium-haul,3.986
17,ATL,MCO,404,Domestic,Short-haul,4.659
18,ATL,MIA,596,Domestic,Short-haul,4.492
19,ATL,MSP,907,Domestic,Medium-haul,3.949
20,ATL,ORD,606,Domestic,Short-haul,4.375
21,ATL,PDX,2168,Domestic,Long-haul,3.283
22,ATL,PHL,666,Domestic,Short-haul,4.278
23,ATL,PHX,1584,Domestic,Medium-haul,3.577
24,ATL,RDU,355,Domestic,Short-haul,4.355
25,ATL,SAN,1888,Domestic,Long-haul,3.131
26,ATL,SEA,2178,Domestic,Long-haul,3.315
27,ATL,SFO,2134,Domestic,Long-haul,3.35
28,ATL,SLC,1587,Domestic,Medium-haul,3.626
29,ATL,TPA,407,Domestic,Short-haul,4.364
30,AUS,ATL,811,Domestic,Medium-haul,4.066
31,AUS,DTW,1148,Domestic,Medium-haul,4.002
32,AUS,JFK,1519,Domestic,Medium-haul,3.809
33,AUS,LAX,1239,Domestic,Medium-haul,4.014
34,AUS,MSP,1043,Domestic,Medium-haul,4.108
35,AUS,SEA,1769,Domestic,Medium-haul,3.494
36,AUS,SLC,1085,Domestic,Medium-haul,3.728
37,BOS,ATL,945,Domestic,Medium-haul,3.872
38,BOS,DCA,399,Domestic,Short-haul,1.85
39,BOS,DTW,630,Domestic,Short-haul,4.331
40,BOS,JFK,186,Domestic,Short-haul,4.365
41,BOS,LAX,2605,Domestic,Long-haul,2.597
42,BOS,LGA,184,Domestic,Short-haul,1.786
43,BOS,MSP,1121,Domestic,Medium-haul,3.662
44,BOS,SEA,2489,Domestic,Long-haul,2.714
45,BOS,SLC,2100,Domestic,Long-haul,3.199
46,CLT,ATL,226,Domestic,Short-haul,4.676
47,CLT,DTW,501,Domestic,Short-haul,4.45
48,CLT,JFK,541,Domestic,Short-haul,4.206
49,CLT,LAX,2120,Domestic,Long-haul,3.266
50,CLT,MSP,930,Domestic,Medium-haul,3.921
51,CLT,SEA,2274,Domestic,Long-haul,2.957
52,CLT,SLC,1723,Domestic,Medium-haul,3.581
53,CVG,ATL,374,Domestic,Short-haul,4.544
54,CVG,DTW,229,Domestic,Short-haul,4.753
55,CVG,JFK,588,Domestic,Short-haul,4.388
56,CVG,LAX,1896,Domestic,Long-haul,3.362
57,CVG,MSP,596,Domestic,Short-haul,4.1
58,CVG,SEA,1960,Domestic,Long-haul,3.214
59,CVG,SLC,1446,Domestic,Medium-haul,3.548
60,DCA,ATL,547,Domestic,Short-haul,4.212
61,DCA,BOS,399,Domestic,Short-haul,1.887
62,DCA,DTW,405,Domestic,Short-haul,4.393
63,DCA,JFK,213,Domestic,Short-haul,4.786
64,DCA,LAX,2306,Domestic,Long-haul,3.086
65,DCA,MSP,929,Domestic,Medium-haul,4.201
66,DCA,SEA,2323,Domestic,Long-haul,3.009
67,DCA,SLC,1847,Domestic,Long-haul,3.403
68,DEN,ATL,1197,Domestic,Medium-haul,3.849
69,DEN,DTW,1120,Domestic,Medium-haul,3.758
70,DEN,JFK,1622,Domestic,Medium-haul,3.645
71,DEN,LAX,861,Domestic,Medium-haul,3.995
72,DEN,MSP,679,Domestic,Short-haul,4.003
73,DEN,SEA,1022,Domestic,Medium-haul,4.056
74,DEN,SLC,390,Domestic,Short-haul,4.296
75,DFW,ATL,730,Domestic,Medium-haul,4.423
76,DFW,DTW,986,Domestic,Medium-haul,4.237
77,DFW,IAH,225,Domestic,Short-haul,1.901
78,DFW,JFK,1389,Domestic,Medium-haul,3.643
79,DFW,LAX,1232,Domestic,Medium-haul,3.584
80,DFW,MSP,853,Domestic,Medium-haul,4.324
81,DFW,SEA,1658,Domestic,Medium-haul,3.471
82,DFW,SLC,988,Domestic,Medium-haul,4.242
83,DTW,ATL,595,Domestic,Short-haul,4.536
84,DTW,AUS,1148,Domestic,Medium-haul,4.066
85,DTW,BOS,630,Domestic,Short-haul,4.175
86,DTW,CLT,501,Domestic,Short-haul,4.317
87,DTW,CVG,229,Domestic,Short-haul,4.754
88,DTW,DCA,405,Domestic,Short-haul,4.355
89,DTW,DEN,1120,Domestic,Medium-haul,3.745
90,DTW,DFW,986,Domestic,Medium-haul,4.039
91,DTW,FLL,1130,Domestic,Medium-haul,4.121
92,DTW,HNL,4468,International,Long-haul,1.497
93,DTW,IAD,383,Domestic,Short-haul,4.498
94,DTW,IAH,1075,Domestic,Medium-haul,3.742
95,DTW,JFK,508,Domestic,Short-haul,4.427
96,DTW,LAS,1745,Domestic,Medium-haul,3.686
97,DTW,LAX,1975,Domestic,Long-haul,3.089
98,DTW,LGA,500,Domestic,Short-haul,4.384
99,DTW,MCO,959,Domestic,Medium-haul,4.219
100,DTW,MIA,1148,Domestic,Medium-haul,4.009
101,DTW,MSP,527,Domestic,Short-haul,4.453
102,DTW,ORD,234,Domestic,Short-haul,4.676
103,DTW,PDX,1948,Domestic,Long-haul,3.219
104,DTW,PHL,452,Domestic,Short-haul,4.308
105,DTW,PHX,1668,Domestic,Medium-haul,3.654
106,DTW,RDU,501,Domestic,Short-haul,4.529
107,DTW,SAN,1953,Domestic,Long-haul,3.469
108,DTW,SEA,1922,Domestic,Long-haul,3.515
109,DTW,SFO,2074,Domestic,Long-haul,3.2
110,DTW,SLC,1478,Domestic,Medium-haul,3.642
111,DTW,TPA,985,Domestic,Medium-haul,4.16
112,FLL,ATL,582,Domestic,Short-haul,4.388
113,FLL,DTW,1130,Domestic,Medium-haul,4.003
114,FLL,JFK,1071,Domestic,Medium-haul,4.095
115,FLL,LAX,2338,Domestic,Long-haul,3.192
116,FLL,MSP,1489,Domestic,Medium-haul,3.552
117,FLL,SEA,2714,Domestic,Long-haul,2.652
118,FLL,SLC,2081,Domestic,Long-haul,2.986
119,HNL,ATL,4495,International,Long-haul,1.418
120,HNL,DTW,4468,International,Long-haul,1.167
121,HNL,JFK,4975,International,Long-haul,1.133
122,HNL,LAX,2553,International,Long-haul,2.857
123,HNL,MSP,3967,International,Long-haul,1.668
124,HNL,SEA,2677,International,Long-haul,2.788
125,HNL,SLC,2991,International,Long-haul,2.272
126,IAD,ATL,534,Domestic,Short-haul,4.118
127,IAD,DTW,383,Domestic,Short-haul,4.624
128,IAD,JFK,227,Domestic,Short-haul,4.51
129,IAD,LAX,2283,Domestic,Long-haul,2.851
130,IAD,MSP,906,Domestic,Medium-haul,4.082
131,IAD,SEA,2300,Domestic,Long-haul,3.16
132,IAD,SLC,1823,Domestic,Long-haul,3.241
133,IAH,ATL,688,Domestic,Short-haul,4.295
134,IAH,DTW,1075,Domestic,Medium-haul,3.736
135,IAH,JFK,1415,Domestic,Medium-haul,3.465
136,IAH,LAX,1377,Domestic,Medium-haul,3.733
137,IAH,MSP,1036,Domestic,Medium-haul,3.993
138,IAH,SEA,1872,Domestic,Long-haul,3.415
139,IAH,SLC,1195,Domestic,Medium-haul,3.967
140,JFK,ATL,759,Domestic,Medium-haul,4.419
141,JFK,AUS,1519,Domestic,Medium-haul,3.619
142,JFK,BOS,186,Domestic,Short-haul,4.522
143,JFK,CLT,541,Domestic,Short-haul,4.492
144,JFK,CVG,588,Domestic,Short-haul,4.194
145,JFK,DCA,213,Domestic,Short-haul,4.56
146,JFK,DEN,1622,Domestic,Medium-haul,3.323
147,JFK,DFW,1389,Domestic,Medium-haul,3.471
148,JFK,DTW,508,Domestic,Short-haul,4.6
149,JFK,FLL,1071,Domestic,Medium-haul,4.115
150,JFK,HNL,4975,International,Long-haul,1.248
151,JFK,IAD,227,Domestic,Short-haul,4.534
152,JFK,IAH,1415,Domestic,Medium-haul,3.525
153,JFK,LAS,2243,Domestic,Long-haul,2.896
154,JFK,LAX,2470,Domestic,Long-haul,2.773
155,JFK,LGA,11,Domestic,Short-haul,4.766
156,JFK,MCO,945,Domestic,Medium-haul,4.149
157,JFK,MIA,1092,Domestic,Medium-haul,4.011
158,JFK,MSP,1026,Domestic,Medium-haul,3.87
159,JFK,ORD,738,Domestic,Medium-haul,4.424
160,JFK,PDX,2447,Domestic,Long-haul,3.034
161,JFK,PHL,94,Domestic,Short-haul,4.707
162,JFK,PHX,2149,Domestic,Long-haul,3.194
163,JFK,RDU,427,Domestic,Short-haul,4.39
164,JFK,SAN,2441,Domestic,Long-haul,2.793
165,JFK,SEA,2415,Domestic,Long-haul,2.867
166,JFK,SFO,2580,Domestic,Long-haul,2.944
167,JFK,SLC,1984,Domestic,Long-haul,3.019
168,JFK,TPA,1006,Domestic,Medium-haul,3.804
169,LAS,ATL,1743,Domestic,Medium-haul,3.216
170,LAS,DTW,1745,Domestic,Medium-haul,3.212
171,LAS,JFK,2243,Domestic,Long-haul,3.245
172,LAS,LAX,236,Domestic,Short-haul,4.675
173,LAS,MSP,1297,Domestic,Medium-haul,3.764
174,LAS,SEA,867,Domestic,Medium-haul,3.899
175,LAS,SLC,368,Domestic,Short-haul,4.47
176,LAX,ATL,1942,Domestic,Long-haul,3.28
177,LAX,AUS,1239,Domestic,Medium-haul,3.657
178,LAX,BOS,2605,Domestic,Long-haul,2.763
179,LAX,CLT,2120,Domestic,Long-haul,3.109
180,LAX,CVG,1896,Domestic,Long-haul,3.386
181,LAX,DCA,2306,Domestic,Long-haul,3.088
182,LAX,DEN,861,Domestic,Medium-haul,3.877
183,LAX,DFW,1232,Domestic,Medium-haul,3.763
184,LAX,DTW,1975,Domestic,Long-haul,3.332
185,LAX,FLL,2338,Domestic,Long-haul,2.998
186,LAX,HNL,2553,International,Long-haul,3.013
187,LAX,IAD,2283,Domestic,Long-haul,3.117
188,LAX,IAH,1377,Domestic,Medium-haul,3.549
189,LAX,JFK,2470,Domestic,Long-haul,2.683
190,LAX,LAS,236,Domestic,Short-haul,4.644
191,LAX,LGA,2464,Domestic,Long-haul,2.665
192,LAX,MCO,2214,Domestic,Long-haul,3.132
193,LAX,MIA,2338,Domestic,Long-haul,3.217
194,LAX,MSP,1533,Domestic,Medium-haul,3.638
195,LAX,ORD,1741,Domestic,Medium-haul,3.388
196,LAX,PDX,835,Domestic,Medium-haul,4.195
197,LAX,PHL,2396,Domestic,Long-haul,2.932
198,LAX,PHX,369,Domestic,Short-haul,4.496
199,LAX,RDU,2234,Domestic,Long-haul,3.295
200,LAX,SAN,109,Domestic,Short-haul,4.611
201,LAX,SEA,955,Domestic,Medium-haul,4.264
202,LAX,SFO,338,Domestic,Short-haul,4.699
203,LAX,SLC,590,Domestic,Short-haul,4.155
204,LAX,TPA,2154,Domestic,Long-haul,2.919
205,LGA,ATL,761,Domestic,Medium-haul,3.98
206,LGA,BOS,184,Domestic,Short-haul,1.463
207,LGA,DTW,500,Domestic,Short-haul,4.172
208,LGA,JFK,11,Domestic,Short-haul,4.833
209,LGA,LAX,2464,Domestic,Long-haul,2.688
210,LGA,MCO,951,Domestic,Medium-haul,1.422
211,LGA,MSP,1018,Domestic,Medium-haul,4.159
212,LGA,SEA,2406,Domestic,Long-haul,2.707
213,LGA,SLC,1978,Domestic,Long-haul,3.424
214,MCO,ATL,404,Domestic,Short-haul,4.338
215,MCO,DTW,959,Domestic,Medium-haul,3.84
216,MCO,JFK,945,Domestic,Medium-haul,4.14
217,MCO,LAX,2214,Domestic,Long-haul,3.154
218,MCO,MSP,1311,Domestic,Medium-haul,3.955
219,MCO,SEA,2551,Domestic,Long-haul,2.954
220,MCO,SLC,1928,Domestic,Long-haul,3.456
221,MIA,ATL,596,Domestic,Short-haul,4.194
