survey_id,flight_id,ticket_id,customer_id,date_id,overall_satisfaction_1to5,on_time_satisfaction_1to5,crew_satisfaction_1to5,comfort_satisfaction_1to5,food_beverage_satisfaction_1to5,nps_score_0to10,would_recommend,complaint_category
1,38369,352951,11880,20240702,5,5,4,4,4,10,True,None
2,13966,128313,7155,20230720,3,5,4,4,2,5,False,None
3,54492,500959,10749,20250217,4,5,3,4,3,9,True,None
4,17625,163765,643,20230904,4,5,5,3,2,9,True,None
5,18994,176386,4933,20230922,5,5,3,3,5,10,True,None
6,40690,375639,18670,20240731,4,3,3,4,3,6,False,None
7,9403,84248,11315,20230523,3,4,4,4,4,6,False,Booking Issue
8,27657,254567,4199,20240129,1,3,4,4,4,0,False,Delay/Cancellation
9,47494,439383,6064,20241103,3,4,5,3,2,9,True,Customer Service
10,15822,146383,2353,20230811,5,5,4,4,3,10,True,None
11,13371,122587,10541,20230712,5,5,5,4,4,10,True,None
12,5120,44986,15627,20230320,5,5,4,3,3,10,True,None
13,15971,147842,9266,20230813,4,5,5,5,5,6,False,None
14,42322,391503,14789,20240820,4,5,4,4,3,7,True,None
15,141,1338,24773,20230103,2,3,5,5,2,3,False,Delay/Cancellation
16,34201,313360,4041,20240506,4,5,4,3,2,8,True,None
17,57296,526328,18346,20250331,4,5,4,4,3,7,True,None
18,23699,220065,8147,20231130,4,4,3,4,4,9,True,None
19,69632,643411,1322,20250914,4,2,4,4,3,9,True,None
20,30686,281045,18551,20240314,5,3,5,5,3,10,True,None
21,9292,83212,946,20230521,5,5,5,3,3,10,True,None
22,50269,464362,21954,20241213,5,5,3,4,4,8,True,None
23,45241,418806,17705,20240930,3,4,5,4,3,8,True,In-flight Amenities
24,37708,346577,10194,20240623,4,5,4,4,4,9,True,None
25,6654,59065,7532,20230412,4,5,4,5,3,10,True,None
26,25469,235315,4369,20231228,5,5,4,3,3,10,True,None
27,2427,20975,3585,20230207,4,4,3,5,5,7,True,None
28,71358,659249,18869,20251008,4,5,4,3,3,9,True,None
29,48371,447466,12190,20241115,4,4,4,5,3,9,True,None
30,49363,456505,18077,20241129,4,5,5,4,3,8,True,None
31,60385,554499,279,20250516,3,4,4,3,3,7,True,Delay/Cancellation
32,46956,434470,17345,20241025,5,5,4,5,4,10,True,None
33,18004,167381,5031,20230909,3,4,5,4,4,5,False,None
34,56628,520287,2080,20250321,5,5,5,3,4,10,True,None
35,47916,443286,19357,20241109,5,5,4,4,4,10,True,None
36,7086,63008,23003,20230419,4,5,4,3,3,9,True,None
37,73086,675116,11206,20251103,4,5,4,4,3,9,True,None
38,73140,675603,8240,20251104,3,4,4,5,4,5,False,Cleanliness
39,68792,635910,15626,20250902,4,4,3,4,1,7,True,None
40,12256,111691,24284,20230629,2,4,4,5,3,6,False,Baggage Handling
41,49544,458222,10467,20241201,4,5,4,4,2,8,True,None
42,53352,491067,17203,20250130,5,5,4,5,3,9,True,None
43,9693,86952,24411,20230527,4,4,4,4,4,8,True,None
44,42463,392925,2786,20240822,5,5,4,5,4,7,True,None
45,32951,301950,14328,20240417,4,5,4,4,4,10,True,None
46,46048,426207,11113,20241012,4,5,4,4,3,8,True,None
47,61664,566367,6563,20250604,3,1,4,3,4,5,False,Delay/Cancellation
48,11961,108901,2650,20230625,4,4,4,4,3,8,True,None
49,45423,420486,14788,20241003,4,3,4,4,3,8,True,None
50,42502,393264,24573,20240822,4,5,4,4,4,8,True,None
51,65194,600884,3489,20250718,3,5,4,3,4,6,False,None
52,59125,542951,11206,20250428,5,5,4,5,4,10,True,None
53,74110,684627,14104,20251118,3,4,4,4,4,7,True,Customer Service
54,21071,195563,1544,20231022,5,5,4,5,3,9,True,None
55,54911,504639,5923,20250223,3,2,5,4,5,6,False,None
56,40804,376732,1847,20240801,3,2,5,2,4,6,False,None
57,15694,145190,13298,20230810,4,5,5,5,2,6,False,None
58,52622,484749,22580,20250119,4,4,5,4,4,7,True,None
59,11905,108331,13995,20230625,3,5,5,3,4,3,False,In-flight Amenities
60,53323,490841,17901,20250130,5,4,4,4,4,10,True,None
61,21147,196229,2987,20231023,4,5,4,4,2,10,True,None
62,29105,266988,11558,20240220,4,5,4,3,2,9,True,None
63,50481,466187,23910,20241216,4,4,4,3,5,8,True,None
64,72750,672009,24259,20251029,3,4,4,5,4,6,False,None
65,67291,621227,7300,20250814,3,4,5,5,4,6,False,None
