flight_id,date_id,flight_number,route_id,origin_airport,destination_airport,aircraft_id,captain_id,first_officer_id,scheduled_departure,scheduled_arrival,actual_departure,actual_arrival,departure_delay_minutes,arrival_delay_minutes,delay_reason_id,cancelled,cancellation_reason_id,diverted,distance_miles,scheduled_block_minutes,taxi_out_minutes,taxi_in_minutes,aircraft_capacity,seats_sold,load_factor,base_fare_avg_usd
1,20230101,DL2455,161,JFK,PHL,3,834,27,2023-01-01 07:30:00,2023-01-01 08:06:09.384340,2023-01-01 07:25:00,2023-01-01 07:51:09.384340,-5,-15,0,False,,False,94,36.2,15.6,8.3,109,97,0.89,80.73
2,20230101,DL1841,269,PDX,MSP,60,489,579,2023-01-01 19:05:00,2023-01-01 22:43:59.645761,2023-01-01 20:44:41.778304,2023-01-02 00:22:08.853444,99.7,98.2,5,False,,False,1422,219.0,22.9,10.7,150,113,0.753,283.17
3,20230101,DL2778,364,SLC,TPA,123,39,60,2023-01-01 07:15:00,2023-01-01 11:46:26.714805,2023-01-01 08:46:46.232643,2023-01-01 13:07:06.779043,91.8,80.7,5,False,,False,1885,271.4,19.1,6.5,180,158,0.878,333.55
4,20230101,DL1923,200,LAX,SAN,17,365,60,2023-01-01 06:05:00,2023-01-01 06:46:59.019036,2023-01-01 06:31:41.274297,2023-01-01 07:06:45.338137,26.7,19.8,1,False,,False,109,42.0,17.6,10.1,130,118,0.908,84.92
5,20230101,DL2599,186,LAX,HNL,66,224,175,2023-01-01 07:45:00,2023-01-01 13:51:18.828415,2023-01-01 07:40:53.287424,2023-01-01 13:42:57.362771,-4.1,-8.4,0,False,,False,2553,366.3,20.9,12.5,192,190,0.99,463.74
6,20230101,DL2058,26,ATL,SEA,124,516,27,2023-01-01 07:45:00,2023-01-01 13:00:07.229898,2023-01-01 07:42:10.049570,2023-01-01 12:57:27.956942,-2.8,-2.7,0,False,,False,2178,315.1,19.1,11.9,180,153,0.85,371.94
7,20230101,DL3897,97,DTW,LAX,125,239,268,2023-01-01 07:40:00,2023-01-01 12:23:05.764383,2023-01-01 09:24:52.733341,2023-01-01 14:06:06.448286,104.9,103.0,3,False,,False,1975,283.1,15.5,10.0,211,177,0.839,380.29
8,20230101,DL2940,185,LAX,FLL,69,224,550,2023-01-01 06:40:00,2023-01-01 12:10:44.252338,2023-01-01 06:37:33.052265,2023-01-01 12:08:59.618967,-2.4,-1.7,0,False,,False,2338,330.7,19.2,6.5,192,151,0.786,384.74
9,20230101,DL1646,253,MSP,SAN,90,731,550,2023-01-01 18:05:00,2023-01-01 21:46:00.795320,2023-01-01 18:00:00,2023-01-01 21:35:57.306334,-5,-10.1,0,False,,False,1531,221.0,13.8,7.5,160,141,0.881,312.2
10,20230101,DL2864,298,SAN,SEA,77,697,679,2023-01-01 12:05:00,2023-01-01 14:51:12.230614,2023-01-01 12:00:00,2023-01-01 14:36:12.230614,-5,-15,0,False,,False,1052,166.2,19.0,10.0,192,179,0.932,227.79
11,20230101,DL3448,141,JFK,AUS,61,773,170,2023-01-01 17:00:00,2023-01-01 20:46:14.345204,2023-01-01 16:57:02.590272,2023-01-01 20:44:04.696622,-3.0,-2.2,0,False,,False,1519,226.2,13.6,14.5,150,137,0.913,300.34
12,20230101,DL2442,23,ATL,PHX,111,543,733,2023-01-01 08:40:00,2023-01-01 12:29:43.914961,2023-01-01 08:43:26.949717,2023-01-01 12:32:27.193670,3.4,2.7,0,False,,False,1584,229.7,15.3,7.9,178,169,0.949,268.16
13,20230101,DL1835,103,DTW,PDX,108,594,299,2023-01-01 17:45:00,2023-01-01 22:30:49.896287,2023-01-01 18:32:44.384250,2023-01-01 23:16:20.558354,47.7,45.5,1,False,,False,1948,285.8,21.5,10.3,178,140,0.787,371.3
14,20230101,DL2969,339,SLC,CLT,92,369,51,2023-01-01 13:10:00,2023-01-01 17:29:54.885996,2023-01-01 13:56:50.471971,2023-01-01 18:00:20.092923,46.8,30.4,5,False,,False,1723,259.9,23.0,12.2,160,158,0.988,283.0
15,20230101,DL1697,78,DFW,JFK,15,632,844,2023-01-01 16:40:00,2023-01-01 20:02:42.727487,2023-01-01 17:26:30.496907,2023-01-01 20:56:17.783508,46.5,53.6,5,False,,False,1389,202.7,15.5,6.1,130,101,0.777,287.47
16,20230101,DL1748,167,JFK,SLC,112,392,593,2023-01-01 11:35:00,2023-01-01 16:27:05.318456,2023-01-01 11:30:00,2023-01-01 16:12:59.492798,-5,-14.1,0,False,,False,1984,292.1,22.9,10.4,178,153,0.86,380.83
17,20230101,DL4049,347,SLC,IAD,116,531,120,2023-01-01 07:40:00,2023-01-01 12:05:40.948200,2023-01-01 07:44:19.942507,2023-01-01 12:03:28.881165,4.3,-2.2,0,False,,False,1823,265.7,20.8,7.1,180,156,0.867,295.53
