maintenance_id,aircraft_id,maintenance_date,maintenance_type,cost_usd,downtime_hours,performed_at_hub,technician_count
1,65,2024-05-04,B-Check,32446.57,35.7,True,7
2,89,2023-02-03,C-Check,388300.52,279.1,True,3
3,38,2025-12-12,Unscheduled Repair,87914.62,7.7,False,5
4,23,2023-02-13,Avionics Update,53022.13,56.3,False,6
5,96,2023-09-09,Unscheduled Repair,11645.27,33.6,True,6
6,59,2025-08-20,A-Check (Routine),9823.01,6.1,False,2
7,138,2023-03-15,Avionics Update,102100.45,43.0,True,7
8,80,2024-02-16,B-Check,34238.89,19.0,True,1
9,158,2024-07-03,B-Check,11779.99,13.0,True,7
10,9,2023-09-01,B-Check,26912.2,15.8,False,4
11,124,2025-03-18,A-Check (Routine),7028.17,6.4,True,4
12,86,2023-07-10,A-Check (Routine),4036.74,11.9,False,4
13,122,2023-10-14,A-Check (Routine),3869.4,6.4,False,2
14,37,2024-02-08,A-Check (Routine),9469.14,11.8,True,2
15,37,2023-01-10,Unscheduled Repair,50936.17,40.0,False,2
16,81,2023-05-05,A-Check (Routine),6605.13,10.0,True,4
17,44,2023-07-18,Unscheduled Repair,76741.21,17.7,True,7
18,17,2024-05-16,A-Check (Routine),4948.78,5.7,False,1
19,143,2025-06-18,Unscheduled Repair,53538.05,13.3,False,4
20,141,2024-08-06,A-Check (Routine),5513.08,6.0,True,4
21,126,2025-03-03,D-Check (Heavy),1787405.28,822.0,True,2
22,137,2025-12-13,A-Check (Routine),7604.6,5.7,True,6
23,120,2024-09-01,C-Check,173520.55,122.4,True,6
24,96,2023-06-19,A-Check (Routine),10496.55,11.4,True,2
25,99,2023-04-05,B-Check,20805.8,34.3,True,4
26,84,2024-11-16,Unscheduled Repair,40994.36,6.3,True,1
27,86,2024-09-26,Unscheduled Repair,36778.13,15.4,False,7
28,145,2025-03-15,D-Check (Heavy),1087191.98,759.0,True,6
29,86,2023-10-08,Unscheduled Repair,42713.43,15.5,True,4
30,111,2025-07-22,B-Check,10446.32,15.4,False,1
31,46,2023-01-02,B-Check,25629.56,15.6,True,4
32,22,2024-02-12,Engine Overhaul,422209.71,314.5,True,1
33,54,2025-08-07,B-Check,17604.38,25.9,False,8
34,18,2025-07-18,Avionics Update,106528.02,68.4,True,2
35,89,2025-08-24,A-Check (Routine),11325.66,9.0,False,5
36,127,2023-04-18,C-Check,342294.32,195.6,True,3
37,14,2025-04-07,Avionics Update,45105.63,57.7,False,8
38,153,2025-08-10,Engine Overhaul,604816.02,393.0,True,8
39,152,2024-03-24,Unscheduled Repair,85472.75,34.1,True,4
40,122,2024-10-10,A-Check (Routine),7102.55,11.6,True,7
41,8,2024-04-01,C-Check,405289.55,236.6,False,6
42,2,2024-12-08,Unscheduled Repair,60728.12,3.4,False,8
43,4,2025-12-30,B-Check,22396.75,14.3,False,3
44,91,2024-11-03,B-Check,14032.3,29.2,False,3
45,166,2024-09-15,Unscheduled Repair,70327.09,19.8,True,5
46,10,2023-11-06,Unscheduled Repair,7380.3,13.6,True,7
47,38,2024-10-30,Unscheduled Repair,33539.23,32.2,True,6
48,111,2025-04-30,Avionics Update,85429.69,38.6,True,1
49,13,2023-12-18,A-Check (Routine),9289.82,11.7,False,1
50,52,2025-04-27,A-Check (Routine),10033.94,4.4,True,7
51,47,2024-06-15,A-Check (Routine),7513.98,6.8,False,1
52,73,2025-10-06,B-Check,23383.56,17.5,True,8
53,79,2023-08-21,Unscheduled Repair,80955.93,44.4,True,1
54,33,2023-02-23,A-Check (Routine),6453.14,9.4,True,1
55,106,2023-09-21,Unscheduled Repair,52916.3,33.5,True,4
56,103,2024-05-22,B-Check,18120.22,30.3,True,3
57,141,2025-01-19,A-Check (Routine),10172.87,11.7,True,3
58,161,2025-11-11,Unscheduled Repair,86053.34,4.9,True,4
59,7,2024-03-10,Engine Overhaul,729534.77,315.3,True,4
60,66,2025-04-02,B-Check,10046.71,35.6,True,8
61,118,2025-01-10,C-Check,361989.41,279.0,True,4
62,100,2023-08-17,B-Check,32679.13,15.9,True,8
63,10,2023-10-23,Engine Overhaul,533367.19,422.4,True,1
64,50,2023-06-04,A-Check (Routine),11939.22,10.8,True,5
65,109,2025-06-06,C-Check,287595.92,133.7,True,1
66,125,2023-11-20,A-Check (Routine),10829.11,11.0,True,2
67,147,2025-10-06,D-Check (Heavy),1827496.46,616.1,False,7
68,37,2024-10-02,A-Check (Routine),9287.44,10.4,True,4
69,123,2023-11-13,C-Check,429166.77,228.1,False,4
70,149,2024-03-12,Unscheduled Repair,56952.01,29.2,False,2
71,13,2024-09-02,A-Check (Routine),11342.96,5.1,False,5
72,133,2025-08-12,Unscheduled Repair,65756.97,23.0,False,5
73,27,2025-04-04,A-Check (Routine),11021.11,9.8,True,6
74,36,2024-10-31,A-Check (Routine),4930.35,8.3,True,1
75,161,2025-08-25,C-Check,371710.38,280.3,False,4
76,14,2023-03-02,D-Check (Heavy),1126280.07,490.6,False,3
77,166,2023-04-18,Unscheduled Repair,56926.69,38.6,True,6
78,100,2024-05-07,C-Check,349540.56,281.6,True,6
79,129,2023-05-30,B-Check,18491.55,13.2,True,1
80,41,2024-10-28,A-Check (Routine),6659.52,10.0,False,4
81,34,2023-05-26,A-Check (Routine),9671.88,4.9,False,8
82,89,2024-06-04,Unscheduled Repair,40743.46,20.7,True,6
83,62,2024-09-18,B-Check,17736.54,34.7,False,6
84,91,2024-07-13,Avionics Update,48659.24,52.5,False,5
85,133,2023-05-13,A-Check (Routine),10289.86,10.3,True,3
86,39,2024-05-28,A-Check (Routine),5158.91,6.8,True,8
87,133,2024-11-02,Unscheduled Repair,63739.83,36.4,True,6
88,75,2023-05-04,A-Check (Routine),3327.1,7.6,False,5
89,19,2023-09-15,A-Check (Routine),9450.95,11.5,True,5
90,57,2024-07-02,B-Check,34827.62,20.3,True,6
91,11,2023-03-11,Unscheduled Repair,69208.76,31.5,True,7
92,130,2023-10-19,A-Check (Routine),8247.75,8.3,False,6
93,52,2024-06-11,Avionics Update,27148.88,56.7,True,5
94,65,2025-03-31,C-Check,203199.6,283.3,True,1
95,2,2023-05-07,Avionics Update,67233.03,37.7,False,4
96,48,2023-01-22,A-Check (Routine),10683.67,8.1,False,8
97,58,2024-03-19,A-Check (Routine),9161.32,8.1,True,6
98,60,2023-05-26,C-Check,407674.27,205.4,True,2
99,62,2025-11-24,Unscheduled Repair,85996.01,37.9,True,5
100,145,2024-08-26,Unscheduled Repair,10305.88,2.3,True,3
101,115,2025-10-29,C-Check,280906.45,145.9,True,1
102,107,2023-11-28,A-Check (Routine),10364.2,4.8,True,6
103,103,2024-08-10,C-Check,219685.06,211.4,True,3
104,75,2024-09-17,B-Check,23142.26,24.1,True,6
105,98,2025-03-31,A-Check (Routine),5431.12,11.2,True,2
106,52,2023-03-31,Unscheduled Repair,36334.09,19.1,True,7
107,89,2024-06-04,A-Check (Routine),10973.61,6.6,False,8
108,59,2024-01-24,Unscheduled Repair,17513.54,10.0,True,8
